,X,Y,Facies,Porosity,Perm,AI,Wts
3,80.0,280.0,0.0,0.10291948565966286,0.1960184163624576,6753.323723214254,1.2129661795631916
5,160.0,840.0,0.0,0.12885192106851354,0.6730427562153727,6068.296567211053,1.0088296668210464
6,160.0,760.0,0.0,0.10336450247359318,5.368072508148979,5574.433665959774,0.8787342252256044
7,160.0,680.0,0.0,0.12688514281375185,24.31442042121909,4201.7099040772855,0.8871099120387912
10,160.0,120.0,0.0,0.1422517072638635,5.189213824728854,7330.542383769207,2.4893262052401277
20,320.0,120.0,0.0,0.13513240652309272,1.8503401815089724,5501.993421296067,1.0246610534621357
21,320.0,40.0,0.0,0.08540858771729783,0.02355911123835831,6476.494604417591,2.667607843192014
53,800.0,360.0,0.0,0.1179624592024686,1.2214323911243117,7386.884231033908,0.6373068141680945
54,800.0,120.0,0.0,0.1373637407987015,0.5633952385265732,7215.7773523619935,0.9202798418162579
55,800.0,40.0,0.0,0.11773159707192275,0.10376549431759254,6174.244315635895,2.1206019317633475
56,880.0,920.0,0.0,0.101581120919399,0.514663475342159,5635.872084566247,4.012576097300684
57,880.0,840.0,0.0,0.10427601711137012,0.7845232647554745,5880.675567228474,1.5557288550367743
59,880.0,280.0,0.0,0.13586476736407066,1.1196049019025909,4891.896632978093,0.8558975066388861
60,880.0,200.0,0.0,0.12019130620899356,2.6979052177768903,6020.781995652047,1.115531577927369
61,960.0,680.0,0.0,0.1257721278313769,5.236209896480093,5539.2292367515065,1.974334642422634
62,960.0,600.0,0.0,0.15024867226089514,10.68095434297347,6446.671246980998,1.3368173449053382
63,960.0,520.0,0.0,0.1170305406864083,3.197022841866348,6386.046053600047,1.2356999622879554
65,960.0,200.0,0.0,0.08388048864489264,0.19516711579820328,5789.566282480845,1.81222003108641
66,960.0,40.0,0.0,0.09643487535668188,0.3969945149276383,6421.620797941171,3.475066159495039
67,15.0,1014.0,0.0,0.13413154696767207,0.16256120008767475,6168.753749198974,0.9362741320676096
85,230.0,209.0,0.0,0.15595265244441706,0.5626950645890485,6839.1431887786575,1.342243025684522
90,610.0,49.0,0.0,0.09899682501941813,0.3602959117959683,7540.356345704655,1.2273770779134945
92,880.0,609.0,0.0,0.1460694876568704,17.53725024888053,4968.599371496216,0.937725634146961
